,wav,txt,sentence
0,F15_a3_s001_v04.wav,oui,s001
1,M13_a1_s001_v01.wav,oui,s001
2,F01_a1_s001_v03.wav,oui,s001
3,M17_a2_s001_v01.wav,oui,s001
4,F05_a2_s001_v02.wav,oui,s001
5,F05_a1_s001_v01.wav,oui,s001
6,F18_a1_s001_v04.wav,oui,s001
7,M16_a2_s002_v02.wav,non,s002
8,M11_a1_s002_v05.wav,non,s002
9,F08_a1_s002_v03.wav,non,s002
10,M09_a3_s002_v04.wav,non,s002
11,M19_a2_s002_v04.wav,non,s002
12,F15_a3_s003_v03.wav,certes,s003
13,M17_a4_s003_v03.wav,certes,s003
14,M16_a3_s003_v01.wav,certes,s003
15,M17_a3_s003_v04.wav,certes,s003
16,F05_a2_s004_v01.wav,bien-sûr,s004
17,F02_a1_s004_v02.wav,bien-sûr,s004
18,F01_a4_s004_v01.wav,bien-sûr,s004
19,F15_a4_s005_v01.wav,salut,s005
20,F08_a3_s005_v04.wav,salut,s005
21,F08_a1_s005_v01.wav,salut,s005
22,F06_a3_s005_v04.wav,salut,s005
23,F15_a1_s005_v01.wav,salut,s005
24,M17_a1_s005_v05.wav,salut,s005
25,M04_a1_s005_v01.wav,salut,s005
26,F05_a3_s006_v05.wav,bonjour,s006
27,F06_a1_s006_v04.wav,bonjour,s006
28,F01_a1_s006_v01.wav,bonjour,s006
29,F08_a1_s006_v04.wav,bonjour,s006
30,M07_a4_s006_v03.wav,bonjour,s006
31,M07_a2_s006_v01.wav,bonjour,s006
32,M19_a1_s007_v04.wav,bonsoir,s007
33,M19_a1_s007_v06.wav,bonsoir,s007
34,M13_a1_s007_v03.wav,bonsoir,s007
35,F01_a1_s007_v01.wav,bonsoir,s007
36,M04_a3_s007_v03.wav,bonsoir,s007
37,M13_a4_s007_v04.wav,bonsoir,s007
38,M16_a3_s008_v01.wav,tant pis,s008
39,F15_a4_s008_v01.wav,tant pis,s008
40,M17_a1_s008_v04.wav,tant pis,s008
41,F10_a1_s008_v01.wav,tant pis,s008
42,F03_a4_s008_v01.wav,tant pis,s008
43,M07_a1_s008_v04.wav,tant pis,s008
44,F02_a2_s008_v03.wav,tant pis,s008
45,F08_a3_s009_v03.wav,très bien,s009
46,F01_a4_s009_v03.wav,très bien,s009
47,M19_a1_s009_v06.wav,très bien,s009
48,M04_a2_s009_v02.wav,très bien,s009
49,F08_a3_s009_v05.wav,très bien,s009
50,M04_a1_s009_v02.wav,très bien,s009
51,M13_a3_s009_v03.wav,très bien,s009
52,M16_a2_s010_v01.wav,c’est vrai,s010
53,M07_a4_s010_v05.wav,c’est vrai,s010
54,M11_a4_s010_v03.wav,c’est vrai,s010
55,F15_a4_s010_v01.wav,c’est vrai,s010
56,F18_a1_s010_v04.wav,c’est vrai,s010
57,M11_a4_s011_v01.wav,par ici,s011
58,F14_a2_s011_v06.wav,par ici,s011
59,F05_a1_s011_v06.wav,par ici,s011
60,M07_a4_s011_v02.wav,par ici,s011
61,M17_a2_s011_v02.wav,par ici,s011
62,M17_a1_s012_v06.wav,au revoir,s012
63,F03_a4_s012_v05.wav,au revoir,s012
64,M07_a2_s012_v02.wav,au revoir,s012
65,M04_a1_s012_v01.wav,au revoir,s012
66,M19_a1_s012_v04.wav,au revoir,s012
67,F05_a1_s012_v03.wav,au revoir,s012
68,M19_a1_s013_v06.wav,à demain,s013
69,M19_a1_s013_v03.wav,à demain,s013
70,M13_a4_s013_v04.wav,à demain,s013
71,F03_a4_s013_v04.wav,à demain,s013
72,M16_a1_s013_v02.wav,à demain,s013
73,F20_a3_s014_v02.wav,impossible,s014
74,F08_a1_s014_v03.wav,impossible,s014
75,M04_a1_s014_v02.wav,impossible,s014
76,F01_a2_s014_v02.wav,impossible,s014
77,F10_a2_s014_v02.wav,impossible,s014
78,M07_a3_s014_v02.wav,impossible,s014
79,F03_a4_s015_v02.wav,volontiers,s015
80,F20_a1_s015_v03.wav,volontiers,s015
81,M16_a3_s015_v01.wav,volontiers,s015
82,M12_a1_s015_v02.wav,volontiers,s015
83,M17_a1_s015_v04.wav,volontiers,s015
84,F15_a1_s015_v05.wav,volontiers,s015
85,F15_a1_s015_v02.wav,volontiers,s015
86,F01_a2_s016_v02.wav,j'ai toussé,s016
87,M19_a2_s016_v01.wav,j'ai toussé,s016
88,F03_a1_s016_v01.wav,j'ai toussé,s016
89,F20_a1_s016_v03.wav,j'ai toussé,s016
90,M07_a4_s016_v04.wav,j'ai toussé,s016
91,F08_a3_s016_v02.wav,j'ai toussé,s016
92,M16_a3_s016_v03.wav,j'ai toussé,s016
93,F10_a1_s017_v01.wav,peu importe,s017
94,F15_a1_s017_v02.wav,peu importe,s017
95,F10_a1_s017_v04.wav,peu importe,s017
96,F10_a3_s017_v05.wav,peu importe,s017
97,F15_a1_s017_v01.wav,peu importe,s017
98,M04_a2_s017_v01.wav,peu importe,s017
99,F02_a4_s018_v03.wav,nous partons,s018
100,F02_a2_s018_v01.wav,nous partons,s018
101,M16_a3_s018_v03.wav,nous partons,s018
102,F03_a1_s019_v05.wav,bonne journée,s019
103,M12_a2_s019_v02.wav,bonne journée,s019
104,F05_a2_s019_v01.wav,bonne journée,s019
105,F10_a3_s019_v04.wav,bonne journée,s019
106,F05_a2_s019_v02.wav,bonne journée,s019
107,F20_a1_s019_v05.wav,bonne journée,s019
108,F05_a2_s020_v03.wav,bonsoir jeanne,s020
109,F08_a4_s020_v05.wav,bonsoir jeanne,s020
110,M11_a2_s020_v04.wav,bonsoir jeanne,s020
111,F03_a4_s020_v01.wav,bonsoir jeanne,s020
112,M04_a4_s021_v03.wav,faites leur signe,s021
113,F03_a1_s021_v02.wav,faites leur signe,s021
114,M04_a4_s021_v01.wav,faites leur signe,s021
115,F20_a1_s021_v01.wav,faites leur signe,s021
116,F02_a4_s021_v04.wav,faites leur signe,s021
117,F10_a4_s021_v04.wav,faites leur signe,s021
118,M12_a3_s022_v04.wav,asseyez vous,s022
119,F05_a4_s022_v02.wav,asseyez vous,s022
120,F01_a2_s022_v02.wav,asseyez vous,s022
121,F06_a3_s022_v03.wav,asseyez vous,s022
122,M13_a1_s022_v02.wav,asseyez vous,s022
123,M16_a2_s023_v03.wav,évidemment,s023
124,F06_a1_s023_v04.wav,évidemment,s023
125,M12_a3_s023_v03.wav,évidemment,s023
126,M12_a4_s023_v04.wav,évidemment,s023
127,M12_a3_s023_v02.wav,évidemment,s023
128,M04_a1_s023_v03.wav,évidemment,s023
129,F10_a4_s024_v04.wav,assurément,s024
130,F03_a1_s024_v03.wav,assurément,s024
131,M12_a2_s024_v04.wav,assurément,s024
132,F02_a4_s024_v04.wav,assurément,s024
133,F14_a3_s024_v01.wav,assurément,s024
134,F10_a2_s024_v01.wav,assurément,s024
135,F20_a1_s024_v04.wav,assurément,s024
136,F10_a2_s025_v05.wav,il est midi,s025
137,F03_a1_s025_v03.wav,il est midi,s025
138,M19_a2_s025_v01.wav,il est midi,s025
139,F03_a4_s025_v01.wav,il est midi,s025
140,F03_a1_s026_v03.wav,salut marie,s026
141,F02_a4_s026_v03.wav,salut marie,s026
142,M07_a1_s026_v02.wav,salut marie,s026
143,M11_a1_s026_v03.wav,salut marie,s026
144,M07_a2_s026_v06.wav,salut marie,s026
145,M11_a4_s026_v03.wav,salut marie,s026
146,F18_a2_s026_v02.wav,salut marie,s026
147,F05_a3_s026_v02.wav,salut marie,s026
148,F14_a3_s026_v02.wav,salut marie,s026
149,F15_a1_s027_v03.wav,tu as marché,s027
150,F10_a3_s027_v03.wav,tu as marché,s027
151,M13_a1_s027_v05.wav,tu as marché,s027
152,M04_a1_s027_v02.wav,tu as marché,s027
153,M07_a3_s027_v01.wav,tu as marché,s027
154,F02_a1_s027_v01.wav,tu as marché,s027
155,F05_a3_s027_v01.wav,tu as marché,s027
156,M17_a2_s028_v02.wav,au revoir yann,s028
